"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Europe & Central Asia (developing only)","ECA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","4026","3819","","","","","4991","9740","10118","9438.5","9866.4","10243.2","10591","11055.3","11497","11822.3","12895.2","13552","14997.4","15578.1","16252.7","17382","17380.3","16929.4","16507.5","17209.1","","",
"Europe & Central Asia (all income levels)","ECS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","124958","","","","132572","146249","142493","","","","","188855","214253","230694","231442.3","240081.3","244938","250370.6","253450.4","259602.3","255878.9","258255.5","261722.9","269380.9","274440","282667.4","287427.7","291641.9","290581.7","291202.7","297604.3","","",
"Ecuador","ECU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","10","13","13","17","20","29","18","13","27","34.3","32","44.2","31.2","23.7","37.4","30","50.7","53.5","50.2","48.6","40","66","69.9","67.5","66.2","60.1","","",
"Egypt, Arab Rep.","EGY","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","1060","","","","926","1070","1037","1130","1278","1254","1429","1288","1279","1380","1387.8","1292.2","1266.1","1274.8","1293","1432.8","1463.5","1564","1716.8","1661.1","1658.2","1785.6","1934.4","2018.9","2247.3","2431.2","2514.9","","",
"Euro area","EMU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","70894","","","","76124","80924","79869","87042","95320","98105","100915","111541","112270","122852","126698.5","133335.7","137783.7","142786.1","144006.4","147219.2","147343.2","149241.4","151141","155729.4","159695.5","165188.8","167888.1","171949.1","172089.5","172875.4","176189","","",
"Eritrea","ERI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0.7","2.2","0.2","6.1","2.7","5.9","5","10.3","5.7","3.7","8","8.6","7.9","4.5","3.7","2.6","1.4","","",
"Spain","ESP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","2362","","","","4016","4871","4986","5432","6116","6837","7269","9267","9759","10534","11315.9","12495.1","13075.3","13719.5","14513.7","14796.2","15324","16062.3","16100.8","17027","18345.7","19526.8","20993.3","21509.1","21547.5","22019.9","22910.3","","",
"Estonia","EST","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","2","177","202","215.1","270.4","229.8","304.9","340.6","327.5","346","321.2","354.6","389.1","439","456.9","502.3","477.2","518.1","526.5","514.2","","",
"Ethiopia","ETH","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","45","60","71","58","70","93","88","84","86","93.7","97.3","95.4","79.1","109.5","89.9","77.9","101.7","92","106.3","87.6","121.2","148.5","158.6","175.3","169.5","170","","",
"European Union","EUU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","117952","","","","125222","138007","134494","144541","156182","159455","162950","177236","178826","192108","196496.6","204588.2","209480.1","215389.2","217832.5","223369.1","221122.5","222439.4","225664.1","231361","236075.9","243851.2","247078","251149.5","249925.6","251275","255770.8","","",
